Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
408,4041,The Last World,Christoph Ransmayr,1988,Austrian,German,310,,2040,190,"Allegorical, Fiction, Historical fiction, Literary Fiction, Mythological, Postmodern","Exile, Language, Memory, Military, Mythology, Nature, Power, Storytelling, Transformation, World War II, isolation",Fictional Location
409,4225,"Thinking, Fast and Slow",Daniel Kahneman,2011,Israeli,English,499,198000,2044,189,"Encyclopedic, Nonfiction, Psychological, Technical, philosophical","Behavioral Economics, Cognition, Decision-making, Heuristics, History, History Of Science, Intuition, Judgment, Psychology, Rationality, Science, bias",Fictional Location
410,4034,The Black Dahlia,James Ellroy,1987,American,English,300-400,128000,2045,189,"Crime, Fiction, Mystery, Thriller & Suspense, noir","Deception, Investigation, Murder, Obsession, Police, Psychological Trauma, Violence, corruption, relationships","California, Los Angeles, United States"
411,5679,Howl's Moving Castle,Diana Wynne Jones,1986,British,English,300-350,68000,2053,188,"Adventure, Fantasy, Fiction, High Fantasy, Speculative Fiction, Young adult","Curses, Juvenile, Love, Magic, Self-discovery, Siblings, Transformation, Whales, Wizards","Fictional Location, Wales"
412,2066,The Bloody Chamber And Other Stories,Angela Carter,1979,British,English,120-160,35000,2054,188,"Dark, Fiction, Folklore & Fairy Tales, Gothic, Magical Realism, Retellings","Desire, Identity, Mythology, Power, Sexuality, Transformation, Violence, Women's Studies",Fictional Location
413,4099,Santa Evita,Tomás Eloy Martínez,1995,Argentinian,Spanish,400,,2056,187,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Political, Postmodern","Death, Legacy, Manipulation, Myth, Obsession, Politics, Power","Argentina, Buenos Aires"
414,4556,Fight Club,Chuck Palahniuk,1996,American,English,208,49504,2058,187,"Dark, Dark Humor, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction, Thriller & Suspense","Anarchy, Existentialism, Friendship, Mental illness, Violence, consumerism, masculinity, rebellion, self-destruction","Delaware, United States, Wilmington"
415,3558,Citizen,Claudia Rankine,2014,American,English,160-200,,2061,187,"Cultural, Experimental, Modernist, Nonfiction, Poetry","Essays, Injustice, Microaggressions, Race relations, Racism, Resilience, Sports, Trauma, Violence","Media, United States"
416,5386,The Great Believers,Rebecca Makkai,2018,American,English,432,143000,2069,186,"Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","AIDS, Community, Family, Friendship, Grief, Lgbtq+, Loss, Memory, Survival, Trauma","Chicago, France, Paris, United States"
417,2152,The Bean Trees,Barbara Kingsolver,1988,American,English,232-338,62000,2077,186,"Coming of age, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Adoption, Community, Family, Family dynamics, Friendship, Immigration, Indians of North America, Motherhood, Resilience, Social Issues, Survival, Trauma, Women's Studies, orphans","Arizona, Tucson, United States, West (U.S.)"
418,3432,Just Kids,Patti Smith,2010,American,English,304,85000,2085,185,"Art, Cultural, Family & Relationships, Memoir, Nonfiction","Friendship, Music, Photography, Struggle, Women's Studies, Youth","New York, New York City, United States"
419,542,The Shell Seekers,Rosamunde Pilcher,1987,British,English,530-600,249000,2092,184,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Romance, Sagas","Conflict of generations, Family, Family dynamics, Inheritance, Inheritance and succession, Love, Memory, Women, Women's Studies, World War II, relationships, secrets","Cornwall, England, Europe, Great Britain, London"
420,280,Haroun and the Sea of Stories,Salman Rushdie,1990,British,English,200-224,38000,2095,184,"Allegorical, Fantasy, Fiction, Folklore & Fairy Tales, Literary Fiction, Magical Realism, Speculative Fiction","Creativity, Freedom, Juvenile, Magic, Stories, censorship, conflict, imagination",Fictional Location
421,10060,House On The Embankment,Yuri Trifonov,1976,Russian,Russian,200-250,,2097,184,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Betrayal, Conformity, Friendship, Guilt, Memory, Politics, Power, Survival, fear, morality","Moscow, Russia"
422,15807,The Luminous Novel,Mario Levrero,2005,Uruguayan,Spanish,500-600,,2098,184,"Diaries & Journals, Fiction, Literary Fiction, Postmodern, metafiction, philosophical","Creativity, Death, Dreams, Existence, Illness, Memory, Self-discovery, isolation, writing","Montevideo, Uruguay"
423,4114,All Souls' Day,Cees Nooteboom,1998,Dutch,Dutch,352,,2099,184,"Drama, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Culture, Existentialism, Grief, History, Loss, Memory, relationships","Berlin, Germany"
424,10078,Farewell To Matyora,Valentin Rasputin,1976,Russian,Russian,150-200,60000,2104,183,"Fiction, Historical fiction, Literary Fiction, Pastoral, Social & Cultural Fiction","Community, Displacement, Family, Loss, Memory, Modernization, Nature, Resistance, tradition","Russia, Siberia"
425,118,Harry Potter And The Chamber Of Secrets,J. K. Rowling,1998,British,English,251-360,85141,2105,183,"Adventure, Fantasy, Fiction, Mystery, Speculative Fiction, Young adult","Courage, Friendship, Identity, Loyalty, Prejudice, fear, heritage, secrets","England, Fictional Location"
426,6348,Mythago Wood,Robert Holdstock,1984,British,English,300-400,67200,2111,182,"Fantasy, Fiction, Magical Realism, Mythological, Speculative Fiction, Weird Fiction","Archetypes, Family, Magic, Memory, Mythical Creatures, Mythology, Psychology, Transformation, forests",Fictional Location
427,20509,The Assault,Harry Mulisch,1982,Dutch,Dutch,180-250,,2115,182,"Allegorical, Fiction, Historical fiction, Literary Fiction, Modernist, Thriller & Suspense, Travel",War,"Haarlem, Netherlands"
428,4519,Cryptonomicon,Neal Stephenson,1999,American,English,900-1150,415000,2118,181,"Cyberpunk, Encyclopedic, Fiction, Historical fiction, Literary Fiction, Science fiction, Speculative Fiction","Alternate History, Codes, Computers, Cryptography, Espionage, Finance, History, Mathematics, Technology, World War II, treasure","Germany, Manila, Philippines, United Kingdom, United States"
429,1439,Home,Marilynne Robinson,2008,American,English,336,102000,2119,181,"Drama, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Tragedy","Christianity, Estrangement, Faith, Family, Family dynamics, Forgiveness, Guilt, Mortality, Parenthood, Reconciliation, Redemption, Siblings","Gilead, Iowa, United States"
430,3981,Fool's Gold,Máro Doýka,1979,Hungarian,Unknown,325,,2125,181,"Fiction, Literary Fiction, Psychological, Social & Cultural Fiction, Thriller & Suspense","Betrayal, Country life, Deception, Friendship, greed, treasure",Fictional Location
431,573,The Clan of the Cave Bear,Jean M. Auel,1980,American,English,495-512,186739,2132,180,"Adventure, Coming of age, Fiction, Historical fiction, Social & Cultural Fiction","Adoption, Family, Healing, History, Indigenous, Life Sciences, Prehistoric Life, Survival, Women's Studies, conflict, gender roles, tradition","Europe, Fictional Location"
432,3173,Soul and Other Stories,Andrey Platonov,1999,Russian,Russian,200-250,,2134,180,"Dark, Fiction, Literary Fiction, Postmodern, Short Story Collection, Social & Cultural Fiction, philosophical","Existentialism, Human Condition, Identity, Soviet Ideology, Struggle, Survival, isolation","Hope, Russia"
433,1404,No Logo,Naomi Klein,1999,Canadian,English,490,150000,2137,180,"Cultural, Modernist, Nonfiction, Political, Pop Culture","Activism, Anti-Capitalism, Branding, Corporate power, Cultural Homogenization, Economic Inequality, Globalization, Labor Rights, Marketing, consumerism","Canada, United States"
434,3280,The Girl with the Dragon Tattoo,Stieg Larsson,2005,Swedish,Swedish,465-590,204000,2140,180,"Crime, Fiction, Mystery, Psychological, Thriller & Suspense","Family, Finance, Journalism, Murder, Revenge, Technology, abuse, corruption","Stockholm, Sweden"
435,2054,Far From the Tree,Andrew Solomon,2012,American,English,976,445000,2152,179,"Counselling, Cultural, Family & Relationships, Memoir, Nonfiction","Acceptance, Difference, Diversity, Empathy, Family, Family dynamics, Gender and Sexuality, Identity, Parenting, Resilience, belonging, disability",United States
436,3358,No Country for Old Men,Cormac McCarthy,2005,American,English,300-320,62961,2155,179,"Crime, Fiction, Thriller & Suspense, Westerns, noir","Drugs, Ethics, Fate, Justice, Law Enforcement, Novela, Survival, Violence, greed, morality","Texas, United States"
437,4087,On Love,Alain de Botton,1993,British,English,224,,2156,178,"Family & Relationships, Fiction, Literary Fiction, Modernist, Nonfiction, philosophical","Attraction, Desire, Emotions, Health & Fitness, Heartbreak, Intimacy, Love, Philosophy, Psychology, Psychology & Mental Health, relationships","London, United Kingdom"
438,3276,American Gods,Neil Gaiman,2001,British,English,400-750,200000,2157,178,"Fantasy, Fiction, Literary Fiction, Magical Realism, Mythological, Postmodern, Speculative Fiction","Belief, Cultural Conflict, Faith, Identity, Immigration, Mythology, Power, change","Chicago, Illinois, United States"
439,3553,Lives Other Than My Own,Emmanuel Carrère,2009,French,French,207,,2158,178,"Biography, Cultural, Family & Relationships, Memoir, Nonfiction","Cancer, Death, Death & Grief, Family, Family dynamics, Friendship, Grief, Interpersonal relations, Justice, Law, Love, Survival, compassion","France, Sri Lanka, Tsunami"
440,4113,Veronika Decides to Die,Paulo Coelho,1998,Brazilian,Portuguese,200-300,51000,2161,177,"Fiction, Literary Fiction, Magical Realism, Psychological, philosophical","Existentialism, Freedom, Life Purpose, Love, Mental Health, Psychiatry, Sanity, Self-discovery, Suicide, depression","Ljubljana, Slovenia"
441,9835,The Witches Of Eastwick,John Updike,1984,American,English,307-320,94563,2162,177,"Fiction, Literary Fiction, Magical Realism, Satire, Supernatural","Adultery, Death, Divorce, Empowerment, Friendship, Magic, Revenge, Sexuality, Transformation, Witchcraft","Eastwick, Rhode Island, United States"
442,1304,Dreams from My Father,Barack Obama,1995,American,English,300-450,153000,2163,177,"Autobiography, Cultural, Memoir, Nonfiction, Political","African American History, American History, Community, Family, History, Identity, Racism, Self-discovery, belonging, heritage, race","Chicago, Hawaii, Indonesia, United States"
443,748,The Gate of Heavenly Peace,Jonathan Spence,1981,American,English,528,,2166,177,"Biography, Cultural, Nonfiction, Political, Travel","American History, Asian History, Communism, Culture, History, Ideology, Intellectuals, Military, Politics, Protest, Reform, Revolution","Beijing, China"
444,10118,Swordspoint,Ellen Kushner,1987,American,English,286,101000,2165,177,"Drama, Fantasy, Fiction, Literary Fiction, Social & Cultural Fiction, Speculative Fiction","Betrayal, Dueling, Honor, Intrigue, Love, Politics, Power, Revenge, Swordsmanship, class",Fictional Location
445,877,The Last Lion,William Manchester,1983,American,English,992,250000,2167,177,"Biography, Nonfiction, Political, Travel","American History, Courage, Diplomacy, European History, Foreign relations, History, Jewish, Leadership, Military, Politics, War, World War II","England, Great Britain, London, United Kingdom"
446,2089,The Sense of an Ending,Julian Barnes,2011,British,English,150-200,41000,2172,176,"Coming of age, Fiction, Literary Fiction, Postmodern, Psychological, philosophical","Aging, Friendship, Guilt, History, Memory, Regret, Suicide, Truth, relationships","England, London"
447,390,Waiting,Ha Jin,1999,Chinese,English,300-320,90000,2174,176,"Family & Relationships, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Tragedy","Bureaucracy, Desire, Duty, Family, Family dynamics, Infidelity, Interpersonal relations, Love, Marriage, Medicine, Sacrifice, loneliness, relationships, tradition",China
448,4172,My Year of Rest and Relaxation,Ottessa Moshfegh,2018,American,English,304,65000,2175,176,"Absurdist, Contemporary, Fiction, Literary Fiction, Postmodern, Psychological","Addiction, Friendship, Grief, Mental Health, Sleep, Therapy, Women's Studies, depression, isolation, self-destruction","New York, New York City, United States"
449,11252,The Kindly Ones,Jonathan Littell,2006,French,French,900-1400,984000,2176,175,"Dark, Fiction, Historical fiction, Literary Fiction, military fiction, philosophical","Family, Genocide, Guilt, History, Holocaust, NAZISM, Politics, Psychology, Sexuality, Violence, War, morality","France, Germany, Poland, Russia, Ukraine"
450,554,Good Omens,"Terry Pratchett, Neil Gaiman",1990,British,English,288-400,107000,2186,175,"Fantasy, Fiction, Good and evil, Humor, Magical Realism, Satire, Speculative Fiction","Angels, Antichrist, Apocalypse, Demons, Destiny, Good, Prophecies, Witchcraft, evil","England, Fictional Location, Heaven, Hell, London, United Kingdom"
451,2407,Simon and the Oaks,Marianne Fredriksson,1985,Swedish,Swedish,300-400,,2191,175,"Coming of age, Family & Relationships, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Adoption, Family, Family dynamics, Friendship, Love, Survival, Trauma, War, secrets",Sweden
452,1297,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,British,English,607-759,198227,2192,174,"Adventure, Fantasy, Fiction, Good and evil, High Fantasy, Speculative Fiction, Young adult","Courage, Death & Grief, Good vs Evil, Identity, Loyalty, Power, Sacrifice","England, Fictional Location, Ireland"
453,6345,The Anubis Gates,Tim Powers,1983,American,English,400,128000,2193,174,"Fantasy, Fiction, Historical fiction, Magical Realism, Science fiction, Speculative Fiction, Steampunk","Alternate History, Assassins, Body Swapping, Disguise, Homelessness, Magic, Mythology, Revenge, Time travel","England, London"
454,4164,Exit West,Mohsin Hamid,2017,Pakistani,English,231,60000,2194,174,"Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction, Speculative Fiction","Displacement, Love, Migration, Refugees, Survival, War, conflict, relationships","Fictional Location, Greece, Hope, Pakistan, United Kingdom, United States"
455,16267,Mafalda,Quino,1978,Argentinian,Spanish,96,,2196,173,"Bande Dessinée, Children's books, Comics & Graphic Novels, Fiction, Humor","Classics, Literature",""
456,13232,A History Of The World In 10 1/2 Chapters,Julian Barnes,1989,British,English,310-320,,2225,171,"Allegorical, Fiction, Literary Fiction, Postmodern, Short Story Collection","Death, European History, Faith, History, Humanity, Love, Memory, Myth, Narrative, Survival",Fictional Location
457,6119,Long Walk To Freedom,Nelson Mandela,1994,South African,English,600-700,255000,2235,171,"","",""
458,3265,Goodnight Mister Tom,Michelle Magorian,1981,British,English,320-384,85000,2236,170,"Coming of age, Family & Relationships, Fiction, Historical fiction, Middle Grade, Realistic Fiction","Community, Friendship, Growth, Healing, Parenting, Resilience, Trauma, War, World War II, abuse, orphans","England, Little Weirwold"
459,3425,The Buddha in the Attic,Julie Otsuka,2011,American,English,129,27000,2238,170,"Fiction, Historical fiction, Literary Fiction, Poetry, Social & Cultural Fiction","Alienation, Assimilation, Community, Discrimination, Family, Immigration, Labor, Marriage, Women","California, United States"
460,3976,The Virgin in the Garden,A. S. Byatt,1978,British,English,424,203000,2239,170,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, philosophical","Crafts, Hobbies & Home, Education, Family, History, Politics, relationships","England, Yorkshire"
461,6239,Out,Natsuo Kirino,1997,Japanese,Japanese,400-520,134000,2244,170,"Crime, Fiction, Psychological, Thriller & Suspense, noir","Betrayal, Domestic violence, Murder, Survival, Workplace","Desperation, Japan, Tokyo"
462,1149,The Crossing,Cormac McCarthy,1994,American,English,426,141000,2249,169,"Adventure, Drama, Fiction, Historical fiction, Literary Fiction, Realistic Fiction","Animals, Death, Family, Redemption, Sacrifice, Survival, Violence, morality","Mexico, United States"
463,4562,A Gentleman in Moscow,Amor Towles,2016,American,English,462,135000,2250,169,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Realistic Fiction, Social & Cultural Fiction","Adaptation, Culture, Friendship, History, Imprisonment, Interpersonal relations, Politics, Revolution, Survival, aristocracy","Moscow, Russia"
464,585,The Accidental Tourist,Anne Tyler,1985,American,English,350-400,145000,2252,169,"Contemporary, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Travel","Death & Grief, Divorce, Family, Family dynamics, Grief, Healing, Marriage, Pets, Psychology & Mental Health, Women's Studies, change, relationships","Baltimore, United States"
465,12786,Dancer From The Dance,Andrew Holleran,1978,American,English,256,,2255,169,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","AIDS, Community, Friendship, Lgbtq+, Love, Nightlife, Sexuality, loneliness","New York City, United States"
466,10520,Smiley's People,John le Carré,1979,British,English,374,128000,2256,169,"Fiction, Mystery, Political, Spy, Thriller & Suspense","Betrayal, Deception, Espionage, Intelligence, Investigation, Murder, Retirement, Revenge, secrets","Bern, Cold War, England, France, Germany, Hamburg, London, Paris, Switzerland"
467,4046,The History of the Siege of Lisbon,José Saramago,1989,Portuguese,Portuguese,300-400,,2257,168,"Allegorical, Dark, Fiction, Historical fiction, Literary Fiction, Postmodern","Alternate History, History, Love, Siege, Translation, War, writing","Lisbon, Portugal"
468,6473,Arcadia,Tom Stoppard,1993,British,English,97,,2258,168,"Fiction, Historical fiction, Literary Fiction, Plays, Postmodern, philosophical","Death, History, Knowledge, Landscape gardening, Mathematics, Science, Sexuality, Time, Time travel, Truth, chaos theory","Sidley Park, United Kingdom"
469,3586,Family Life,Akhil Sharma,2014,Indian,English,224-240,,2259,168,"Family & Relationships, Fiction, Literary Fiction, Memoir, Realistic Fiction","Accidents, Culture, Family, Grief, Immigrants, Immigration, Resilience, Siblings, Trauma, disability, relationships","Delhi, India, United States"
470,6476,Consciousness Explained,Daniel Dennett,1991,American,English,511,210000,2261,168,"Encyclopedic, Nonfiction, Technical, philosophical","Artificial Intelligence, Cognitive Science, Consciousness, Evolutionary Biology, History, History Of Science, Illusion, Life Sciences, Mind-body Problem, Perception, Philosophy of mind, Science, Self-awareness, academic",United States
471,5919,The Big Nowhere,James Ellroy,1988,American,English,406,157000,2262,168,"Crime, Fiction, Hard Boiled, Thriller & Suspense, noir","Communism, Homophobia, Investigation, Murder, Police, Political Ideologies, Politics, Racism, corruption","California, Hollywood, Los Angeles, United States"
472,3285,The Selfish Gene,Richard Dawkins,1976,British,English,224,109000,2265,168,"Nonfiction, Technical, philosophical","Altruism, Behavior, Genes, History, History Of Science, Life Sciences, Natural selection, Nature, Science, Selfishness, Survival",Fictional Location
473,252,Ironweed,William Kennedy,1983,American,English,227,57600,2268,167,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, Tragedy","Death, Family, Grief, Guilt, History, Homelessness, Mental illness, Poverty, Redemption, alcoholism","Albany, New York, United States"
474,2698,Machine Dreams,Jayne Anne Phillips,1984,American,English,352,,2271,167,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Death, Family, Love, Memory, Trauma, War, relationships","United States, Vietnam War, West Virginia"
475,4051,Sexing the Cherry,Jeanette Winterson,1989,British,English,160-224,50000,2272,167,"Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern","History, Lgbtq+, Love, Mythology, Time, Transformation, gender, reality","England, Great Britain, London"
476,378,The Old Forest,Peter Taylor,1985,American,English,368,,2273,166,"Drama, Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Family, Family dynamics, History, Love, Short stories, Society, Southern Culture, change, class, relationships, tradition","Fictional Location, Southern US, United States"
477,16429,To The End Of The Land,David Grossman,2008,Israeli,Hebrew,600-650,,2275,166,"Drama, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy, military fiction","Family, Friendship, Grief, Loss, Love, Memory, Parenthood, Survival, Trauma, War","Haifa, Israel, Jerusalem"
478,24429,"Whitney, My Love",Judith McNaught,1985,American,English,500-600,,2278,166,"Chick Lit, Fiction, Historical fiction, Romance","","England, Fictional Location, France, London"
479,3964,The Left-Handed Woman,Peter Handke,1976,Austrian,German,87,,2280,165,"Allegorical, Experimental, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy",isolation,Fictional Location
480,6049,The Sacred Night,Tahar Ben Jelloun,1987,Moroccan,French,192,,2282,165,"Coming of age, Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Family, Freedom, Gender identity, Resilience, Transformation, Unknown, oppression, secrets, tradition",Morocco
481,995,Backlash,Susan Faludi,1991,American,English,656,155000,2284,165,"Counselling, Cultural, Nonfiction, Political, Pop Culture","Cultural Backlash, Family, Family dynamics, Gender Equality, Marriage, Media Influence, Misogyny, Patriarchy, Political Movements, Sociology, Women's Studies, Women's rights, Workplace Discrimination","Media, United States"
482,12707,Being Mortal,Atul Gawande,2014,American,English,282,85000,2287,165,"Counselling, Cultural, Family & Relationships, Memoir, Nonfiction","Aging, Autonomy, End-of-Life Care, Family, Family dynamics, Healthcare System, History, Medicine, Mortality, Quality of life, Science","Independence, United States"
483,3985,Rituals,Cees Nooteboom,1980,Dutch,Dutch,264,,2288,164,"Allegorical, Fiction, Literary Fiction, Postmodern, Social & Cultural Fiction, philosophical","Death, Existentialism, Philosophy, Rituals, loneliness, relationships","Netherlands, Spain"
484,44711,The End And The Beginning,Wislawa Szymborska,1993,Polish,Polish,100-150,,2290,164,"Cultural, Nonfiction, Poetry, Political, philosophical",War,""
485,15793,The Sixty Five Years Of Washington,Juan José Saer,1983,Argentine,Spanish,150-200,,2292,164,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Death, Existence, Family, Friendship, History, Memory, Politics","Argentina, Santa Fe"
486,4080,What a Carve Up!,Jonathan Coe,1994,British,English,400-500,136000,2293,164,"Dark Humor, Fiction, Literary Fiction, Postmodern, Satire, Social & Cultural Fiction","Family, Murder, Politics, corruption, greed","England, London, Media, United Kingdom"
487,3162,I Will Bear Witness,Victor Klemperer,1995,German,German,500-1000,,2296,164,"Cultural, Diaries & Journals, Memoir, Nonfiction, Political","ANTI-SEMITISM, Diary, Discrimination, Human rights, NAZISM, Persecution, Social sciences, Survival, War, oppression","Dresden, Germany"
488,1908,Personal History,Katharine Graham,1997,American,English,642,,2300,163,"Autobiography, Family & Relationships, Memoir, Nonfiction, Political","American History, Business, Courage, Family, Family dynamics, Gender Equality, History, Journalism, Leadership, Power, Women","Media, United States, Washington D.C."
489,5351,Demon Copperhead,Barbara Kingsolver,2022,American,English,560,200000,2301,163,"Coming of age, Fiction, Literary Fiction, Picaresque, Social & Cultural Fiction","Addiction, Death & Grief, Education, Family, Family dynamics, Friendship, History, Mothers & Children, Poverty, Resilience, Survival, Teenagers, Unknown, abuse, orphans","Appalachia, United States"
490,4502,The Three-Body Problem,Cixin Liu,2006,Chinese,Chinese,400-500,95000,2302,163,"Dystopian, Fiction, Hard Science Fiction, Science fiction, Space Opera, Speculative Fiction","Alien Contact, Cosmic Perspective, Cultural Revolution, Existentialism, Game theory, Humanity, Physics, Survival, Technology","China, Fictional Location"
491,1040,Master of the Senate,Robert Caro,2002,American,English,1167,480000,2303,163,"Biography, Nonfiction, Political","American History, Civil rights, Government, History, Influence, Leadership, Legislation, Politics, Power, Senate","United States, Washington D.C."
492,1464,"Jimmy Corrigan, the Smartest Kid on Earth",Chris Ware,2000,American,English,380,,2305,162,"Comics & Graphic Novels, Coming of age, Fiction, Literary Fiction, Postmodern, Realistic Fiction","Abandonment, Family, Fatherhood, Generational Trauma, childhood, depression, isolation, loneliness, relationships","Chicago, United States"
493,4067,The Butcher Boy,Patrick McCabe,1992,Irish,English,200-250,61000,2311,161,"Coming of age, Dark, Drama, Fiction, Literary Fiction, Psychological","Death, Irish, Mental illness, Mentally ill, Trauma, Violence, abuse, isolation",Ireland
494,352,A Summons to Memphis,Peter Taylor,1986,American,English,320,,2312,161,"Family & Relationships, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction","Aging, Betrayal, Control, Family, Family dynamics, Memory, Regret, Revenge, change, relationships, tradition","Memphis, Tennessee, United States"
495,9975,The Salt Eaters,Toni Cade Bambara,1980,American,English,304,,2317,161,"Allegorical, Fiction, Literary Fiction, Magical Realism, Postmodern, Social & Cultural Fiction","Activism, Community, Family, Friendship, Healing, Mental Health, Racism, Trauma, Violence","Claybourne, Georgia, United States"
496,4016,Contact,Carl Sagan,1985,American,English,432,150000,2318,161,"Fiction, Literary Fiction, Science fiction, Speculative Fiction, Travel, philosophical","Astronomy, Communication, Discovery, Faith, History, History Of Science, Humanity, Politics, Science, Technology, extraterrestrial life",Fictional Location
497,2474,Balzac and the Little Chinese Seamstress,Dai Sijie,2000,Chinese,French,176-192,59000,2319,161,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction","Cultural Revolution, Friendship, Love, Reeducation, Storytelling, Transformation, Youth",China
498,3203,The Sorrow Of War,Bao Ninh,1990,Vietnamese,Vietnamese,233,90000,2325,160,"Fiction, Literary Fiction, Realistic Fiction, military fiction, philosophical","Death, Friendship, Guilt, Loss, Love, Memory, Political Ideologies, Survival, Trauma, War","Hanoi, Hope, Vietnam, Vietnam War"
499,3441,Bartleby & Co,Enrique Vila-Matas,2000,Spanish,Spanish,192,,2326,160,"Books About Books, Fiction, Literary Fiction, Postmodern, metafiction, philosophical","Creativity, Existentialism, Inaction, Melancholy, Nonconformity, Writers, isolation, silence","Barcelona, Spain"
500,16439,Solenoid,Mircea Cărtărescu,2015,Romanian,Romanian,600-700,,2327,160,"Absurdist, Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern, Surreal, philosophical","Dreams, Existentialism, Identity, Madness, Memory, Philosophy, isolation, reality","Bucharest, Romania"
